,dbn,school_name,school_type_x,quality_review_rating,progress_rating,achievement_rating,environment_rating,college_and_career_readiness,closing_the_achievement_gap,free_lunch,average_grade_8_english,average_grade_8_math,quality_review_how_interesting,quality_review_how_effective,quality_review_how_well_does,quality_review_how_clearly,quality_review_how_well_do,average_sat_score,zip,advanced_placement_courses,online_ap_courses,postalcode
113,08X293,Renaissance High School for Musical Theater & Technology,High School,Proficient,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.664,2.33,2.12,Proficient,Developing,Proficient,Well Developed,Proficient,1251,10461,"English Literature and Composition, Government and Politics: United States, Psychology, Spanish Language, World History",N/A,10461
114,08X305,Pablo Neruda Academy,High School,Proficient,Approaching Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,0.758,2.06,2.01,Developing,Developing,Proficient,Proficient,Developing,1109,10473,N/A,"English Literature and Composition, Government and Politics: United States",10473
115,08X312,Millennium Art Academy,High School,N/A,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,0.742,2.31,2.14,N/A,N/A,N/A,N/A,N/A,1211,10473,"Calculus AB, English Language and Composition, English Literature and Composition",N/A,10473
116,08X332,Holcombe L. Rucker School of Community Research,High School,Proficient,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Not Meeting Target,0.843,2.11,2.02,Proficient,Proficient,Proficient,Proficient,Proficient,1147,10459,"English Literature and Composition, Spanish Literature",N/A,10459
117,08X367,"Archimedes Academy for Math, Science and Technology Applications",High School,Developing,Approaching Target,Not Meeting Target,Meeting Target,Approaching Target,Approaching Target,0.727,2.30,2.18,Developing,Developing,Developing,Proficient,Developing,1257,10473,N/A,N/A,10473
118,08X376,Antonia Pantoja Preparatory Academy: A College Board School,High School,Developing,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.813,2.26,2.11,Developing,Developing,Developing,Developing,Developing,1178,10473,N/A,N/A,10473
119,08X405,Herbert H. Lehman High School.,High School,Developing,Not Meeting Target,Approaching Target,Not Meeting Target,Meeting Target,Approaching Target,0.63,2.29,2.18,Developing,Developing,Proficient,Developing,Developing,1271,10461,"Biology, Calculus AB, Calculus BC, English Language and Composition, English Literature and Composition, Environmental Science, Government and Politics: United States, Spanish Language, Spanish Literature, United States History, World History",N/A,10461
120,08X432,BRONX BRIDGES HIGH SCHOOL,High School,Proficient,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.916,1.85,2.04,Proficient,Developing,Well Developed,Proficient,Proficient,1064,10473,"Biology, Calculus AB, French Language, French Literature, Government and Politics: United States, Spanish Language, Spanish Literature, World History",N/A,10473
121,08X452,Bronx Guild,High School,Developing,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,0.692,2.18,1.98,Developing,Developing,Underdeveloped,Developing,Developing,1108,10473,N/A,N/A,10473
122,08X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",High School,Developing,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.721,2.22,2.04,Developing,Developing,Developing,Proficient,Developing,1249,10473,"English Literature and Composition, Government and Politics: Comparative","English Literature and Composition, Government and Politics: Comparative, Government and Politics: United States, Human Geography, Music Theory, World History",10473
123,08X530,Banana Kelly High School,High School,Developing,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,0.756,2.07,1.94,Proficient,Developing,Proficient,Proficient,Developing,1065,10459,"English Language and Composition, Human Geography, United States History",N/A,10459
124,08X558,Westchester Square Academy,High School,N/A,N/A,N/A,N/A,N/A,N/A,0.766,2.29,2.14,N/A,N/A,N/A,N/A,N/A,,10461,N/A,N/A,10461
125,08X559,School for Tourism and Hospitality,High School,N/A,N/A,N/A,N/A,N/A,N/A,0.841,2.14,2.05,N/A,N/A,N/A,N/A,N/A,,10456,N/A,N/A,10456
126,08X561,Bronx Compass High School,High School,N/A,N/A,N/A,N/A,N/A,N/A,0.756,2.29,2.10,N/A,N/A,N/A,N/A,N/A,,10473,N/A,N/A,10473
127,09X227,Bronx Collegiate Academy,High School,Developing,Approaching Target,Approaching Target,Exceeding Target,Approaching Target,Approaching Target,0.839,2.12,2.06,Developing,Developing,Proficient,Well Developed,Proficient,1216,10457,"English Language and Composition, English Literature and Composition, Government and Politics: United States, Spanish Language, United States History",N/A,10457
128,09X231,Eagle Academy for Young Men,High School,Proficient,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.66,2.25,2.21,Proficient,Proficient,Proficient,Well Developed,Proficient,1189,10457,"Biology, English Language and Composition, World History",N/A,10457
129,09X241,"Urban Assembly School for Applied Math and Science, The",High School,Well Developed,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.83,2.37,2.45,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,1228,10457,"Biology, Calculus AB",N/A,10457
130,09X250,Eximius College Preparatory Academy: A College Board School,High School,Proficient,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,0.834,2.36,2.24,Proficient,Proficient,Developing,Well Developed,Proficient,1205,10456,"English Language and Composition, English Literature and Composition, Environmental Science, Government and Politics: United States, Spanish Language, Spanish Literature, World History",N/A,10456
131,09X252,Mott Hall Bronx High School,High School,Proficient,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.821,2.26,2.24,Proficient,Developing,Proficient,Proficient,Proficient,1093,10457,N/A,N/A,10457
132,09X260,Bronx Center for Science and Mathematics,High School,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,0.74,2.77,2.64,N/A,N/A,N/A,N/A,N/A,1462,10456,"Biology, Calculus AB, English Language and Composition, United States History, World History",N/A,10456
133,09X263,Validus Preparatory Academy: An Expeditionary Learning School,High School,Developing,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.837,2.21,2.20,Developing,Developing,Developing,Developing,Proficient,1136,10457,N/A,N/A,10457
134,09X276,Leadership Institute,High School,Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.845,2.03,1.93,Proficient,Proficient,Proficient,Proficient,Proficient,1013,10457,N/A,N/A,10457
135,09X297,Morris Academy for Collaborative Studies,High School,Proficient,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.869,2.13,2.03,Proficient,Developing,Proficient,Developing,Proficient,1209,10456,"English Language and Composition, Spanish Language",N/A,10456
136,09X324,Bronx Early College Academy for Teaching & Learning,High School,Proficient,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.797,2.43,2.24,Proficient,Developing,Proficient,Proficient,Proficient,1201,10456,N/A,N/A,10456
137,09X327,Comprehensive Model School Project M.S. 327,High School,N/A,N/A,N/A,N/A,N/A,N/A,0.933,2.50,2.60,N/A,N/A,N/A,N/A,N/A,,10452,N/A,N/A,10452
138,09X329,DreamYard Preparatory School,High School,Proficient,Approaching Target,Approaching Target,Exceeding Target,Approaching Target,Approaching Target,0.8,2.20,2.04,Proficient,Developing,Proficient,Proficient,Proficient,1091,10457,"Biology, English Language and Composition, English Literature and Composition, Spanish Language, Spanish Literature, United States History",N/A,10457
139,09X365,Academy for Language and Technology,High School,Well Developed,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,0.962,1.84,2.09,Well Developed,Proficient,Well Developed,Well Developed,Proficient,1008,10453,"English Language and Composition, Spanish Language","Art History, Biology, Chemistry, Psychology, Spanish Language, Spanish Literature, World History",10453
140,09X403,Bronx International High School,High School,N/A,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,0.889,1.78,1.91,N/A,N/A,N/A,N/A,N/A,997,10456,N/A,N/A,10456
141,09X404,School for Excellence,High School,Proficient,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.882,2.07,2.02,Developing,Developing,Proficient,Proficient,Proficient,1039,10456,N/A,N/A,10456
142,09X412,Bronx High School of Business,High School,Developing,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.776,2.11,2.04,Developing,Developing,Developing,Developing,Developing,1079,10457,"English Literature and Composition, Spanish Language, Spanish Literature",N/A,10457
143,09X413,Bronx High School for Medical Science,High School,Proficient,Meeting Target,Meeting Target,Meeting Target,Meeting Target,N/A,0.769,2.52,2.49,Well Developed,Developing,Proficient,Well Developed,Proficient,1341,10457,Spanish Language,N/A,10457
144,09X505,"Bronx School for Law, Government and Justice",High School,Proficient,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.795,2.55,2.38,Proficient,Developing,Proficient,Proficient,Proficient,1273,10451,"Biology, English Literature and Composition, Government and Politics: United States, Spanish Language",N/A,10451
145,09X517,Frederick Douglass Academy III Secondary School,High School,Proficient,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.856,2.15,2.07,Developing,Developing,Proficient,Well Developed,Proficient,1191,10456,"Art History, Biology, Calculus AB, English Language and Composition, Environmental Science, Psychology, Spanish Language, United States History",N/A,10456
146,09X525,Bronx Leadership Academy High School,High School,Proficient,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,0.848,2.19,2.12,Proficient,Proficient,Proficient,Proficient,Proficient,1173,10457,"Biology, English Language and Composition, United States History, World History",N/A,10457
147,09X543,High School for Violin and Dance,High School,N/A,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,0.838,2.16,2.09,N/A,N/A,N/A,N/A,N/A,1085,10456,N/A,N/A,10456
148,09X564,Claremont International HS,High School,N/A,N/A,N/A,N/A,N/A,N/A,0.935,1.84,1.87,N/A,N/A,N/A,N/A,N/A,,10457,N/A,N/A,10457
149,10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),High School,Proficient,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.443,2.53,2.47,Proficient,Proficient,Proficient,Proficient,Proficient,1394,10463,"Biology, Calculus AB, English Literature and Composition, Government and Politics: United States, Spanish Language, Spanish Literature, Statistics, Studio Art: Drawing, United States History, World History",N/A,10463
150,10X213,Bronx Engineering and Technology Academy,High School,Developing,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.799,2.20,2.22,Developing,Developing,Developing,Proficient,Proficient,1201,10463,"Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, Physics B, Spanish Language, Spanish Literature, United States History, World History",N/A,10463
151,10X225,Theatre Arts Production Company School,High School,Proficient,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.674,2.45,2.23,Proficient,Developing,Proficient,Proficient,Proficient,1213,10457,"Calculus AB, English Literature and Composition",N/A,10457
152,10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",High School,Proficient,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.715,2.37,2.29,Proficient,Developing,Proficient,Proficient,Proficient,1203,10463,"English Literature and Composition, Spanish Language, United States History",N/A,10463
153,10X243,West Bronx Academy for the Future,High School,Developing,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.888,2.20,2.11,Developing,Developing,Developing,Developing,Developing,1172,10458,"Art History, Chemistry, English Language and Composition, Spanish Language, United States History, World History",N/A,10458
154,10X268,Kingsbridge International High School,High School,Developing,Exceeding Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.972,1.77,2.03,Developing,Developing,Developing,Proficient,Proficient,1038,10468,English Language and Composition,N/A,10468
155,10X284,Bronx School of Law and Finance,High School,Proficient,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.815,2.26,2.15,Proficient,Developing,Proficient,Proficient,Proficient,1200,10463,"English Language and Composition, Spanish Language, Spanish Literature",N/A,10463
156,10X342,International School for Liberal Arts,High School,Developing,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,0.92,1.94,2.08,Developing,Developing,Developing,Developing,Well Developed,1075,10468,N/A,N/A,10468
157,10X368,In-Tech Academy (M.S. / High School 368),High School,Proficient,Approaching Target,Meeting Target,Meeting Target,Meeting Target,N/A,0.83,2.50,2.34,Proficient,Proficient,Developing,Proficient,Proficient,1305,10463,"Calculus AB, English Language and Composition, English Literature and Composition, Environmental Science, Spanish Language, United States History, World History",N/A,10463
158,10X374,Knowledge and Power Preparatory Academy International High School (Kappa),High School,Well Developed,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.812,2.35,2.31,Proficient,Proficient,Well Developed,Well Developed,Well Developed,1222,10458,N/A,N/A,10458
159,10X433,High School for Teaching and the Professions,High School,Developing,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.834,2.16,2.11,Developing,Developing,Developing,Proficient,Developing,1094,10468,"English Literature and Composition, Spanish Language, United States History",N/A,10468
160,10X434,Belmont Preparatory High School,High School,N/A,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.857,2.36,2.28,N/A,N/A,N/A,N/A,N/A,1216,10458,"Art History, Calculus AB, Chemistry, English Literature and Composition, Environmental Science, Spanish Language, Spanish Literature",N/A,10458
161,10X437,Fordham High School for the Arts,High School,Well Developed,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.79,2.37,2.21,Well Developed,Proficient,Proficient,Well Developed,Well Developed,1202,10458,"Calculus AB, English Literature and Composition","Calculus AB, English Literature and Composition",10458
162,10X438,Fordham Leadership Academy for Business and Technology,High School,Developing,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.84,2.14,2.04,Developing,Developing,Proficient,Developing,Developing,1117,10458,"Biology, English Literature and Composition, Spanish Language",N/A,10458
163,10X439,Bronx High School for Law and Community Service,High School,Proficient,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.871,2.19,2.10,Proficient,Developing,Developing,Proficient,Proficient,1173,10458,"Calculus AB, English Language and Composition, English Literature and Composition, Spanish Language, Statistics",N/A,10458
164,10X440,DeWitt Clinton High School,High School,Developing,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.758,2.30,2.21,Developing,Developing,Developing,Developing,Developing,1270,10468,"Biology, Calculus AB, Calculus BC, Chemistry, Economics: Macro, English Language and Composition, English Literature and Composition, Environmental Science, European History, Government and Politics: United States, Physics B, Physics C: Electricity and Magnetism, Physics C: Mechanics, Spanish Language, Spanish Literature, Statistics, United States History, World History",N/A,10468
165,10X442,"Celia Cruz Bronx High School of Music, The",High School,Proficient,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,0.737,2.57,2.37,Developing,Proficient,Developing,Proficient,Developing,1283,10468,"Biology, Chemistry, English Language and Composition, English Literature and Composition, Spanish Language, Spanish Literature, United States History",N/A,10468
166,10X477,Marble Hill High School for International Studies,High School,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.87,2.42,2.51,N/A,N/A,N/A,N/A,N/A,1238,10463,"Biology, Calculus AB, English Language and Composition, English Literature and Composition, Physics B, Spanish Language, Spanish Literature, United States History, World History",N/A,10463
167,10X524,Crotona International High School,High School,Developing,N/A,N/A,N/A,N/A,N/A,0.835,1.70,1.92,Proficient,Developing,Developing,Proficient,Proficient,,10458,N/A,N/A,10458
168,10X546,Bronx Theatre High School,High School,Developing,Not Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Exceeding Target,0.796,2.24,2.08,Proficient,Developing,Developing,Proficient,Proficient,1194,10463,"Biology, Calculus AB, English Literature and Composition, Spanish Literature, United States History",N/A,10463
169,10X549,Discovery High School,High School,Well Developed,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.856,2.19,2.09,Proficient,Proficient,Well Developed,Well Developed,Well Developed,1227,10468,"Biology, English Language and Composition, Environmental Science, United States History",N/A,10468
170,10X565,High School for Energy and Technology,High School,N/A,N/A,N/A,N/A,N/A,N/A,0.868,2.28,2.25,N/A,N/A,N/A,N/A,N/A,,10458,N/A,N/A,10458
171,11X249,Bronx Health Sciences High School,High School,N/A,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.726,2.47,2.38,N/A,N/A,N/A,N/A,N/A,1305,10475,N/A,N/A,10475
172,11X253,Bronx High School for Writing and Communication Arts,High School,Proficient,Approaching Target,Approaching Target,Exceeding Target,Approaching Target,Approaching Target,0.724,2.29,2.04,Proficient,Proficient,Proficient,Proficient,Proficient,1235,10467,"English Literature and Composition, Environmental Science, Spanish Language",N/A,10467
173,11X265,Bronx Lab School,High School,Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.755,2.30,2.17,Proficient,Developing,Proficient,Proficient,Proficient,1174,10467,N/A,N/A,10467
174,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,High School,Developing,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.692,2.16,2.04,Developing,Developing,Developing,Developing,Developing,1155,10466,"Biology, English Language and Composition, United States History",N/A,10466
175,11X275,High School of Computers and Technology,High School,N/A,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.718,2.27,2.24,N/A,N/A,N/A,N/A,N/A,1133,10467,"English Language and Composition, English Literature and Composition, United States History",N/A,10467
176,11X288,Collegiate Institute for Math and Science,High School,Proficient,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.704,2.70,2.58,Proficient,Developing,Developing,Well Developed,Proficient,1338,10469,"Calculus AB, Chemistry, English Literature and Composition, Physics B, Spanish Language, Spanish Literature",N/A,10469
177,11X290,Bronx Academy of Health Careers,High School,N/A,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.708,2.22,2.11,N/A,N/A,N/A,N/A,N/A,1202,10467,English Language and Composition,N/A,10467
178,11X299,Astor Collegiate Academy,High School,Proficient,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.726,2.37,2.27,Proficient,Developing,Developing,Proficient,Proficient,1297,10469,"English Language and Composition, English Literature and Composition, Environmental Science, Spanish Language, Spanish Literature, United States History",N/A,10469
179,11X418,Bronx High School for the Visual Arts,High School,Developing,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.628,2.37,2.11,Developing,Developing,Developing,Developing,Developing,1270,10462,"English Literature and Composition, Environmental Science, United States History",N/A,10462
180,11X455,Harry S Truman High School,High School,Proficient,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.591,2.21,2.08,Developing,Developing,Proficient,Well Developed,Developing,1171,10475,"Biology, Calculus AB, Calculus BC, English Literature and Composition, Spanish Language, Statistics, United States History",N/A,10475
181,11X508,Bronxdale High School,High School,Proficient,N/A,N/A,N/A,N/A,N/A,0.713,2.29,2.18,Proficient,Proficient,Proficient,Proficient,Proficient,,10469,"Biology, English Language and Composition, United States History",N/A,10469
182,11X509,High School of Language and Innovation,High School,Developing,N/A,N/A,N/A,N/A,N/A,0.916,1.91,1.97,Developing,Developing,Developing,Developing,Developing,,10469,N/A,N/A,10469
183,11X513,New World High School,High School,N/A,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,Exceeding Target,0.935,1.92,2.06,N/A,N/A,N/A,N/A,N/A,1100,10466,"Calculus AB, French Language, Spanish Language","French Language, Spanish Language",10466
184,11X514,The Bronxwood Preparatory Academy,High School,Proficient,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,0.694,2.17,1.99,Proficient,Developing,Proficient,Proficient,Proficient,1119,10466,"English Literature and Composition, United States History",N/A,10466
185,11X542,Pelham Preparatory Academy,High School,Proficient,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.623,2.51,2.33,Proficient,Developing,Proficient,Well Developed,Proficient,1263,10469,"Biology, Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, Environmental Science, Government and Politics: United States, Physics B, Spanish Language, Spanish Literature, United States History",Environmental Science,10469
186,11X544,High School for Contemporary Arts,High School,N/A,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.719,2.23,2.06,N/A,N/A,N/A,N/A,N/A,1099,10467,N/A,N/A,10467
187,11X545,Bronx Aerospace High School,High School,Developing,Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,Meeting Target,0.456,2.25,2.18,Proficient,Developing,Developing,Proficient,Developing,1181,10467,"Calculus AB, United States History",N/A,10467
188,12X242,Mott Hall V,High School,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,0.83,2.40,2.45,N/A,N/A,N/A,N/A,N/A,,10472,N/A,N/A,10472
189,12X248,"Metropolitan High School, The",High School,N/A,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,0.789,2.16,2.11,N/A,N/A,N/A,N/A,N/A,1118,10459,"English Literature and Composition, Spanish Language",N/A,10459
190,12X251,Explorations Academy,High School,Proficient,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,0.814,2.11,2.05,Proficient,Developing,Proficient,Proficient,Proficient,1068,10460,"Biology, English Literature and Composition, Government and Politics: United States, Spanish Language, Spanish Literature",N/A,10460
191,12X267,Bronx Latin,High School,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.874,2.36,2.25,N/A,N/A,N/A,N/A,N/A,1225,10456,"Biology, Spanish Language",N/A,10456
192,12X271,East Bronx Academy for the Future,High School,Developing,Approaching Target,Exceeding Target,Approaching Target,Meeting Target,Exceeding Target,0.804,2.23,2.04,Developing,Developing,Developing,Developing,Proficient,1199,10460,"English Language and Composition, Government and Politics: United States, Spanish Literature, United States History",N/A,10460
193,12X278,Peace and Diversity Academy,High School,Developing,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,0.908,2.05,1.88,Developing,Developing,Developing,Developing,Developing,978,10459,English Language and Composition,N/A,10459
194,12X372,Urban Assembly School for Wildlife Conservation,High School,Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.799,2.33,2.14,Proficient,Proficient,Proficient,Proficient,Proficient,,10460,"English Language and Composition, Government and Politics: United States",N/A,10460
195,12X388,Pan American International High School at Monroe,High School,Well Developed,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,0.992,1.71,1.89,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,919,10472,"Spanish Language, Spanish Literature",N/A,10472
196,12X478,THE CINEMA SCHOOL,High School,Well Developed,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.716,2.63,2.44,Proficient,Proficient,Well Developed,Well Developed,Well Developed,1297,10472,"Biology, Calculus AB, Economics: Macro, English Language and Composition, Government and Politics: United States, United States History",N/A,10472
197,12X479,Bronx Career and College Preparatory High School,High School,Proficient,Approaching Target,Not Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,0.777,2.21,2.10,Developing,Developing,Proficient,Well Developed,Proficient,1205,10456,N/A,N/A,10456
198,12X511,Bronx Envision Academy,High School,Proficient,N/A,N/A,N/A,N/A,N/A,0.75,2.23,2.14,Proficient,Developing,Developing,Well Developed,Proficient,,10460,N/A,N/A,10460
199,12X521,The Metropolitan Soundview High School,High School,Proficient,N/A,N/A,N/A,N/A,N/A,0.872,2.20,2.12,Proficient,Developing,Developing,Proficient,Developing,,10472,"Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, Environmental Science, Government and Politics: United States, Italian Language and Culture, Spanish Language",N/A,10472
200,12X682,Fannie Lou Hamer Freedom High School,High School,N/A,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,0.811,2.17,2.06,N/A,N/A,N/A,N/A,N/A,1092,10460,"English Language and Composition, Spanish Language, United States History",N/A,10460
201,12X684,Wings Academy,High School,N/A,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.789,2.21,2.13,N/A,N/A,N/A,N/A,N/A,1156,10460,"Biology, Calculus AB, English Language and Composition, United States History",N/A,10460
202,12X692,Monroe Academy for Visual Arts & Design,High School,N/A,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,0.914,2.08,2.03,N/A,N/A,N/A,N/A,N/A,1077,10472,English Literature and Composition,N/A,10472
203,13K265,Dr. Susan S. McKinney Secondary School of the Arts,High School,Proficient,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Meeting Target,0.708,2.33,2.10,Well Developed,Proficient,Proficient,Proficient,Proficient,1139,11205,"Art History, English Literature and Composition, Environmental Science, Spanish Language, Studio Art: Drawing",N/A,11205
204,13K350,Urban Assembly High School of Music and Art,High School,Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,0.638,2.31,2.12,Proficient,Proficient,Proficient,Proficient,Proficient,1193,11201,English Language and Composition,N/A,11201
205,13K412,"Brooklyn Community High School of Communication, Arts and Media",High School,Proficient,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.773,2.30,2.11,Proficient,Developing,Proficient,Proficient,Proficient,1116,11205,"English Literature and Composition, Statistics",N/A,11205
206,13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",High School,Proficient,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Exceeding Target,0.649,2.44,2.28,Proficient,Developing,Proficient,Developing,Proficient,1297,11201,"Biology, Calculus AB, Computer Science A, English Language and Composition, English Literature and Composition, Environmental Science, Psychology, United States History",N/A,11201
207,13K439,Brooklyn International High School,High School,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.8,1.82,2.43,N/A,N/A,N/A,N/A,N/A,1065,11201,N/A,N/A,11201
208,13K483,The Urban Assembly School for Law and Justice,High School,Well Developed,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.626,2.57,2.34,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,1248,11201,"Economics: Macro, English Language and Composition",N/A,11201
209,13K499,ACORN Community High School,High School,Proficient,Not Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.763,2.28,2.14,Proficient,Proficient,Proficient,Proficient,Proficient,1175,11238,"Biology, Calculus AB, English Language and Composition, Psychology, United States History",N/A,11238
210,13K527,Urban Assembly Institute of Math and Science for Young Women,High School,Proficient,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.675,2.45,2.22,Proficient,Proficient,Proficient,Proficient,Proficient,1248,11201,N/A,N/A,11201
211,13K595,Bedford Academy High School,High School,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,0.472,2.79,2.67,N/A,N/A,N/A,N/A,N/A,1408,11216,"Biology, Calculus AB, Chemistry, English Language and Composition, Music Theory, Spanish Language, Statistics, United States History, World History",N/A,11216
212,13K605,George Westinghouse Career and Technical Education High School,High School,Proficient,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.706,2.36,2.20,Proficient,Proficient,Proficient,Proficient,Proficient,1223,11201,"Biology, English Literature and Composition, United States History, World History",N/A,11201
213,13K670,Benjamin Banneker Academy,High School,Proficient,Meeting Target,Meeting Target,Approaching Target,Meeting Target,N/A,0.525,3.08,2.82,Proficient,Proficient,Proficient,Proficient,Proficient,1417,11205,"Biology, Calculus AB, Calculus BC, Chemistry, English Language and Composition, English Literature and Composition, Statistics, United States History, World History",N/A,11205
214,13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",High School,Proficient,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.608,2.53,2.44,Proficient,Proficient,Proficient,Proficient,Proficient,,11201,N/A,N/A,11201
