,dbn,school_name,school_type_x,quality_review_rating,progress_rating,achievement_rating,environment_rating,college_and_career_readiness,closing_the_achievement_gap,free_lunch,average_grade_8_english,average_grade_8_math,quality_review_how_interesting,quality_review_how_effective,quality_review_how_well_does,quality_review_how_clearly,quality_review_how_well_do,average_sat_score,zip,advanced_placement_courses,online_ap_courses,postalcode
36,02M437,Hudson High School of Learning Technologies,High School,Developing,Approaching Target,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,0.73,2.31,2.26,Developing,Developing,Developing,Proficient,Proficient,1305,10011,N/A,"Biology, Calculus AB, English Literature and Composition, United States History",10011
37,02M438,International High School at Union Square,High School,Proficient,Approaching Target,Not Meeting Target,Meeting Target,Approaching Target,Approaching Target,0.796,1.75,2.24,Proficient,Proficient,Proficient,Proficient,Proficient,1041,10003,N/A,N/A,10003
38,02M439,Manhattan Village Academy,High School,N/A,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,N/A,0.644,2.70,2.69,N/A,N/A,N/A,N/A,N/A,1457,10010,"Calculus AB, English Literature and Composition, Environmental Science, United States History",N/A,10010
39,02M449,Vanguard High School,High School,Proficient,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.713,2.38,2.22,Proficient,Proficient,Proficient,Proficient,Proficient,1248,10065,Calculus AB,N/A,10065
40,02M459,Manhattan International High School,High School,Proficient,Exceeding Target,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,0.807,1.90,2.39,Proficient,Proficient,Proficient,Proficient,Proficient,1275,10065,Calculus AB,N/A,10065
41,02M489,High School of Economics and Finance,High School,Proficient,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.686,2.57,2.61,Well Developed,Proficient,Proficient,Proficient,Proficient,1379,10006,"Biology, Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, European History, Spanish Language, United States History",Environmental Science,10006
42,02M500,Unity Center for Urban Technologies,High School,Proficient,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,0.792,2.25,2.12,Developing,Developing,Proficient,Proficient,Proficient,1051,10016,N/A,N/A,10016
43,02M507,Urban Assembly Gateway School for Technology,High School,Well Developed,N/A,N/A,N/A,N/A,N/A,0.591,2.49,2.37,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,10019,"Art History, Calculus AB, Computer Science AB, English Language and Composition, Physics B, Spanish Language, Studio Art: 3-D Design, United States History",N/A,10019
44,02M519,Talent Unlimited High School,High School,Well Developed,Exceeding Target,Exceeding Target,Approaching Target,Meeting Target,N/A,0.477,3.00,2.68,Well Developed,Proficient,Well Developed,Well Developed,Proficient,1434,10065,"Biology, Chemistry, English Literature and Composition, United States History",N/A,10065
45,02M520,Murry Bergtraum High School for Business Careers,High School,Developing,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,0.733,2.35,2.23,Developing,Developing,Developing,Proficient,Developing,1206,10038,"Art History, Biology, Calculus AB, English Language and Composition, English Literature and Composition, Spanish Language, United States History",N/A,10038
46,02M529,Jacqueline Kennedy Onassis High School,High School,Developing,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,0.71,2.32,2.17,Developing,Developing,Developing,Proficient,Proficient,1261,10036,"Biology, Calculus AB, English Language and Composition, English Literature and Composition, Spanish Literature, United States History, World History",N/A,10036
47,02M531,Repertory Company High School for Theatre Arts,High School,N/A,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,N/A,0.632,2.80,2.50,N/A,N/A,N/A,N/A,N/A,1321,10036,N/A,N/A,10036
48,02M533,Union Square Academy for Health Sciences,High School,N/A,N/A,N/A,N/A,N/A,N/A,0.734,2.46,2.37,N/A,N/A,N/A,N/A,N/A,,10003,N/A,N/A,10003
49,02M534,Harvest Collegiate High School,High School,N/A,N/A,N/A,N/A,N/A,N/A,0.64,2.67,2.37,N/A,N/A,N/A,N/A,N/A,,10011,"Art History, Biology, Calculus AB, Calculus BC, Chemistry, English Language and Composition, English Literature and Composition, Environmental Science, Spanish Language, Statistics",N/A,10011
50,02M542,Manhattan Bridges High School,High School,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.835,2.03,2.26,N/A,N/A,N/A,N/A,N/A,1089,10019,"Calculus AB, Economics: Macro, English Language and Composition, Spanish Language, Spanish Literature, Statistics",N/A,10019
51,02M543,New Design High School,High School,N/A,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,0.661,2.36,2.17,N/A,N/A,N/A,N/A,N/A,1160,10002,English Literature and Composition,N/A,10002
52,02M545,High School for Dual Language and Asian Studies,High School,N/A,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,N/A,0.811,2.59,3.35,N/A,N/A,N/A,N/A,N/A,1532,10002,"Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, English Language and Composition, Human Geography, Statistics, United States History",N/A,10002
53,02M546,Academy for Software Engineering,High School,N/A,N/A,N/A,N/A,N/A,N/A,0.57,2.53,2.46,N/A,N/A,N/A,N/A,N/A,,10003,N/A,N/A,10003
54,02M551,Urban Assembly New York Harbor School,High School,Developing,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.601,2.58,2.36,Proficient,Developing,Proficient,Proficient,Developing,1342,10004,"Calculus AB, English Literature and Composition, Environmental Science",N/A,10004
55,02M580,Richard R. Green High School of Teaching,High School,Proficient,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,Meeting Target,0.793,2.31,2.20,Proficient,Proficient,Developing,Proficient,Proficient,1250,10004,"English Language and Composition, English Literature and Composition, Government and Politics: United States, United States History",N/A,10004
56,02M600,The High School of Fashion Industries,High School,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,N/A,0.701,2.66,2.45,N/A,N/A,N/A,N/A,N/A,1260,10011,"Biology, English Literature and Composition, Spanish Language, United States History",N/A,10011
57,02M605,,,,,,,,,,,,,,,,,,10011,N/A,N/A,10011
58,02M615,Chelsea Career and Technical Education High School,High School,Proficient,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.745,2.37,2.25,Proficient,Proficient,Proficient,Proficient,Proficient,1188,10013,"Calculus AB, English Literature and Composition, Government and Politics: United States, Physics C: Mechanics, Spanish Language, United States History",N/A,10013
59,02M630,Art and Design High School,High School,Proficient,Approaching Target,Meeting Target,Approaching Target,Meeting Target,N/A,0.545,2.78,2.53,Proficient,Proficient,Proficient,Proficient,Proficient,1365,10019,"Art History, Biology, Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, Spanish Language, Studio Art: 2-D Design, Studio Art: Drawing, United States History, World History",N/A,10019
60,02M655,Life Sciences Secondary School,High School,Proficient,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,0.659,2.37,2.28,Proficient,Proficient,Developing,Proficient,Developing,1254,10128,"Biology, Calculus AB, English Language and Composition, Environmental Science, Spanish Language, World History",N/A,10128
61,03M299,"High School for Arts, Imagination and Inquiry",High School,Proficient,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Exceeding Target,0.792,2.26,2.10,Proficient,Proficient,Proficient,Proficient,Developing,1172,10023,"English Language and Composition, United States History",N/A,10023
62,03M307,"Urban Assembly School for Media Studies, The",High School,Proficient,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.745,2.29,2.12,Proficient,Developing,Proficient,Proficient,Proficient,1239,10023,"Calculus AB, Chemistry, English Literature and Composition, United States History, World History",N/A,10023
63,03M402,The Urban Assembly School for Green Careers,High School,Proficient,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,0.829,2.18,2.10,Proficient,Proficient,Proficient,Proficient,Proficient,994,10024,N/A,N/A,10024
