,boro_nm,ofns_desc,latitude,longitude,zip,law_category,date
354074,QUEENS,HARRASSMENT 2,40.741884,-73.851869,11368,VIOLATION,2022-09-02
354075,BROOKLYN,PETIT LARCENY,40.715878,-73.959825,11249,MISDEMEANOR,2022-09-02
354078,QUEENS,HARRASSMENT 2,40.69385,-73.807328,11435,VIOLATION,2022-09-01
354081,BROOKLYN,ASSAULT 3 & RELATED OFFENSES,40.575463,-73.978324,11224,MISDEMEANOR,2022-09-01
354082,MANHATTAN,PETIT LARCENY,40.744134,-73.979283,10016,MISDEMEANOR,2022-09-03
354083,MANHATTAN,GRAND LARCENY,40.750258,-73.987858,10019,FELONY,2022-09-01
354084,QUEENS,GRAND LARCENY,40.75363601,-73.91892302,11103,FELONY,2022-09-03
354086,MANHATTAN,CRIMINAL MISCHIEF & RELATED OF,40.784228,-73.951083,10128,FELONY,2022-09-03
354087,MANHATTAN,PETIT LARCENY,40.791873,-73.968245,10025,MISDEMEANOR,2022-09-02
354089,BROOKLYN,OFFENSES AGAINST PUBLIC ADMINI,40.63399727,-73.94777257,11235,MISDEMEANOR,2022-09-02
354090,BRONX,GRAND LARCENY,40.876469,-73.90849,10463,FELONY,2022-09-02
354094,MANHATTAN,CRIMINAL MISCHIEF & RELATED OF,40.868433,-73.912556,10034,MISDEMEANOR,2022-09-02
354095,MANHATTAN,PETIT LARCENY,40.714608,-74.011443,10007,MISDEMEANOR,2022-09-01
354097,MANHATTAN,PETIT LARCENY,40.790897,-73.970812,10025,MISDEMEANOR,2022-09-01
354098,MANHATTAN,FELONY ASSAULT,40.7535327012632,-73.9945368920152,10018,FELONY,2022-09-03
354099,MANHATTAN,POSSESSION OF STOLEN PROPERTY,40.800896,-73.941011,10035,FELONY,2022-09-03
354100,BROOKLYN,FELONY ASSAULT,40.6711300016904,-73.9135020552048,11212,FELONY,2022-09-01
354101,QUEENS,CRIMINAL MISCHIEF & RELATED OF,40.686566,-73.854418,11416,MISDEMEANOR,2022-09-03
354103,BROOKLYN,ROBBERY,40.645229,-74.012031,11220,FELONY,2022-09-03
354104,BROOKLYN,GRAND LARCENY,40.659923,-73.899435,11207,FELONY,2022-09-03
354105,MANHATTAN,FELONY ASSAULT,40.7204418884676,-74.0067439741913,10005,FELONY,2022-09-03
354106,QUEENS,HARRASSMENT 2,40.589956,-73.80958,11693,VIOLATION,2022-09-03
354107,BROOKLYN,HARRASSMENT 2,40.673196,-73.946012,11233,VIOLATION,2022-09-02
354112,BROOKLYN,HARRASSMENT 2,40.696192,-73.942116,11206,VIOLATION,2022-09-01
354114,MANHATTAN,HARRASSMENT 2,40.711437,-73.981969,10002,VIOLATION,2022-09-01
354115,MANHATTAN,PETIT LARCENY,40.795849,-73.94787,10029,MISDEMEANOR,2022-09-01
