,vintage,weather_station,max_temp,avg_temp,min_temp,max_precip,avg_precip
120,-2.0,KFOK,,,,,
121,2013.0,KFOK,96.0,50.81916666666668,-6.0,0.0,0.0
122,2013.0,KSKX,95.0,44.09916666666667,-17.0,0.0,0.0
123,2014.0,KPEO,91.0,47.13833333333334,-11.0,2.92,0.08000000000000002
125,2009.0,MOIC,,,,,
126,2017.0,FOGO,,,,,
127,2012.0,AR32,,,,,
128,2011.0,KPHX,115.0,75.185,30.0,0.0,0.0
129,2014.0,CI11,,,,,
130,2014.0,AR32,,,,,
131,2016.0,KUGN,103.0,50.291666666666664,-10.0,1.85,0.075
132,2012.0,K1S5,,,,,
133,2013.0,KPEO,94.0,48.277499999999996,-3.0,0.0,0.0
134,2015.0,KSAC,107.0,61.99333333333333,27.0,1.41,0.022499999999999996
135,2017.0,BNVC,,,,,
136,2008.0,KAPC,101.0,55.03666666666667,6.0,0.0,0.0
137,2006.0,KAPC,104.0,55.75833333333333,22.0,0.0,0.0
138,2012.0,BNVC,,,,,
139,2005.0,KAPC,99.0,54.79,25.0,0.0,0.0
140,2016.0,CTOC,,,,,
141,2017.0,KMMV,105.0,52.939166666666665,11.0,2.23,0.12583333333333335
142,2017.0,CTOC,,,,,
143,2008.0,KSLE,100.0,51.240833333333335,14.0,0.0,0.0
144,2013.0,KPHX,118.0,75.93416666666666,29.0,0.0,0.0
145,2016.0,FOGO,,,,,
146,2001.0,KAPC,100.0,55.70250000000001,23.0,0.0,0.0
147,2002.0,KAPC,100.0,55.08833333333334,25.0,0.0,0.0
149,2015.0,KMMV,105.0,54.737500000000004,22.0,2.47,0.10666666666666667
150,2011.0,K1S5,,,,,
151,2010.0,KSKX,97.0,46.60249999999999,-8.0,0.0,0.0
152,2011.0,MOIC,,,,,
153,2015.0,FOGO,,,,,
154,2014.0,KMMV,98.0,54.37583333333334,19.0,2.02,0.06999999999999999
155,2015.0,KSKX,91.0,45.69333333333333,-2.0,0.98,0.02916666666666667
156,2011.0,KSLE,122.0,52.047499999999985,18.0,0.0,0.0
157,2014.0,FOGO,,,,,
158,2016.0,KMMV,102.0,54.13166666666667,26.0,3.19,0.13166666666666668
159,2009.0,KSTS,100.0,54.13583333333333,22.0,0.0,0.0
160,2012.0,CQ22,,,,,
161,2015.0,CTOC,,,,,
162,2003.0,KAPC,101.0,55.999166666666675,24.0,0.0,0.0
163,2015.0,KFOK,92.0,51.30333333333334,-10.0,2.79,0.09499999999999999
164,2012.0,CTOC,,,,,
165,2012.0,KMMV,101.0,52.958333333333336,28.0,0.0,0.0
166,2010.0,KSLE,100.0,53.310833333333335,19.0,0.0,0.0
167,2006.0,MOIC,,,,,
168,-2.0,KSCK,95.0,68.04999999999998,48.0,0.0,0.0
169,2010.0,KUGN,91.0,49.72666666666666,-2.0,0.0,0.0
170,2010.0,KSCK,107.0,59.93166666666667,30.0,0.0,0.0
171,2016.0,KSAC,104.0,61.076666666666675,32.0,2.12,0.0575
172,2014.0,KUGN,89.0,44.27250000000001,-16.0,2.62,0.07833333333333335
173,2013.0,KSAC,108.0,60.11000000000001,24.0,0.0,0.0
174,2017.0,MTZC,,,,,
175,2010.0,K1S5,,,,,
176,1923.0,KSCK,,,,,
177,2014.0,KSAC,105.0,62.72083333333334,32.0,2.85,0.0375
178,2007.0,KPRB,108.0,57.722500000000004,13.0,0.0,0.0
179,2007.0,KSCK,108.0,62.05833333333334,20.0,0.0,0.0
180,2011.0,KMRY,90.0,54.2075,35.0,0.0,0.0
181,2009.0,KMRY,89.0,55.08583333333334,33.0,0.0,0.0
182,2010.0,KPRB,108.0,57.080000000000005,24.0,0.0,0.0
183,2017.0,KFOK,92.0,51.5925,-9.0,3.35,0.09250000000000001
184,2009.0,KPRB,109.0,57.634166666666665,24.0,0.0,0.0
185,2007.0,KSTS,100.0,54.77333333333333,29.0,0.0,0.0
186,2011.0,MTZC,,,,,
187,2009.0,KSCK,108.0,60.751666666666665,26.0,0.0,0.0
188,2010.0,AR32,,,,,
189,2010.0,CQ22,,,,,
190,2012.0,KMRY,89.0,54.63583333333333,29.0,0.0,0.0
191,2013.0,CQ22,,,,,
193,2008.0,KSTS,103.0,54.91583333333333,26.0,0.0,0.0
194,2019.0,KSLE,,,,,
195,2011.0,BNVC,,,,,
196,2014.0,KCHO,,,,,
197,2013.0,K1S5,,,,,
198,2007.0,KAPC,98.0,55.46,23.0,0.0,0.0
199,2013.0,FOGO,,,,,
202,2012.0,CI11,,,,,
203,2004.0,KAPC,99.0,56.34583333333333,28.0,0.0,0.0
204,2010.0,CI11,,,,,
205,2009.0,CI11,,,,,
206,2010.0,BNVC,,,,,
207,2007.0,AR32,,,,,
208,2005.0,KSTS,100.0,54.546666666666674,30.0,0.0,0.0
209,2017.0,KCHO,98.0,59.76,8.0,3.22,0.09249999999999999
210,2013.0,SRUC,,,,,
211,2010.0,MTZC,,,,,
212,2000.0,KAPC,109.0,55.71083333333332,25.0,0.0,0.0
213,2011.0,KMMV,97.0,51.020833333333336,22.0,0.0,0.0
214,2014.0,SRUC,,,,,
215,2011.0,CTOC,,,,,
216,2009.0,AR32,,,,,
217,2014.0,KFOK,88.0,50.324166666666656,-11.0,4.4,0.09000000000000001
218,2010.0,CTOC,,,,,
219,2008.0,BNVC,,,,,
221,2010.0,KPEO,92.0,49.2875,-1.0,0.0,0.0
222,2011.0,KUGN,97.0,48.29,-7.0,0.0,0.0
223,2009.0,KPEO,91.0,47.3425,1.0,0.0,0.0
225,2008.0,AR32,,,,,
227,2009.0,BNVC,,,,,
228,2004.0,MOIC,,,,,
229,5.0,KAPC,90.0,59.87,39.0,0.0,0.0
230,2005.0,AR32,,,,,
231,2006.0,KSTS,107.0,54.54,24.0,0.0,0.0
232,2008.0,KPEO,96.0,48.69416666666667,-3.0,0.0,0.0
233,2007.0,KSLE,102.0,52.264166666666675,19.0,0.0,0.0
234,2014.0,CTOC,,,,,
235,2004.0,CTOC,,,,,
236,2006.0,KPRB,113.0,57.10583333333333,23.0,0.0,0.0
237,2012.0,MTZC,,,,,
238,2004.0,KSTS,99.0,56.28333333333333,27.0,0.0,0.0
239,1998.0,KAPC,100.0,34.93833333333334,20.0,0.0,0.0
240,2008.0,K1S5,,,,,
241,2012.0,KFOK,95.0,53.639166666666675,3.0,0.0,0.0
242,2006.0,AR32,,,,,
243,1998.0,KSTS,207.0,55.77,34.0,0.0,0.0
244,2012.0,SRUC,,,,,
